bin_key,bin_size_m,domain_a,domain_b,osm_way_id,bin_index,paired,rejection_reason,centroid_distance_m,heading_difference_deg,direction_a,direction_b,n_samples_a,n_samples_b,match_quality_a,match_quality_b,pair_quality,first_timestamp_ns_a,first_timestamp_ns_b,last_timestamp_ns_a,last_timestamp_ns_b,road_lanes,road_maxspeed_kph,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,distance_to_traffic_signals_m,distance_to_crossing_m,distance_to_stop_m,distance_to_give_way_m,road_class,road_oneway,road_surface,road_is_roundabout,road_bridge,road_tunnel,road_is_service,against_oneway
w1265232969_b0_A,10.0,car,motorcycle,1265232969,0,False,only 1 samples in the sparser domain,1.1259470615802092,24.73342933962863,A,A,1,1,0.23066408792026888,0.6273995131581693,0.3804188960399442,1406118230972,3100248148851,1406118230972,3100248148851,1.0,,0.09557514995952883,4.477072964917323,1.1259470615802092,170.88486641837326,4.477072964917323,6.310567132245813,175.24716865413302,tertiary,True,asphalt,True,False,False,False,False
w137735208_b0_A,10.0,car,motorcycle,137735208,0,False,only 1 samples in the sparser domain,3.0767333167398383,0.0,A,A,1,1,0.3623742860659486,0.9585357481440294,0.5893629674507744,1371118218837,3083248147132,1371118218837,3083248147132,,,1.7357681346948655e-05,7.9997987786676905,91.75994658932417,301.3410278578616,84.18014752298797,191.25062387196655,402.3739748780213,unclassified,,asphalt,False,True,False,False,False
w137735208_b10_A,10.0,car,motorcycle,137735208,10,False,only 1 samples in the sparser domain,4.828234780594764,0.0,A,A,1,1,0.4663774206495902,0.973326358952496,0.6737487934968954,1379118221597,3088248147601,1379118221597,3088248147601,,,1.7357681346948655e-05,19.273575092125885,112.88817559884062,228.80503019065063,99.83918136190374,96.87260320616463,308.0333157655033,unclassified,,asphalt,False,True,False,False,False
w137735208_b11_A,10.0,car,motorcycle,137735208,11,False,only 1 samples in the sparser domain,0.17056682595661787,0.0,A,A,1,1,0.45596054577961326,0.975141148405193,0.6668027371261989,1380118221962,3089248147653,1380118221962,3089248147653,,,1.7357681346948655e-05,22.670736433804223,95.8463332701245,217.5008075776208,82.79669869099989,79.8301205073186,291.00016240183106,unclassified,,asphalt,False,True,False,False,False
w137735208_b13_A,10.0,car,motorcycle,137735208,13,False,only 1 samples in the sparser domain,4.2185723236571695,0.0,A,A,1,1,0.4534708070246687,0.9795557435656173,0.6664832582746171,1381118222274,3090248147757,1381118222274,3090248147757,,,1.7357681346948655e-05,33.49415025980262,80.16565480083669,207.79200153853992,67.11519050544455,64.14861228351641,275.3282585001834,unclassified,,asphalt,False,True,False,False,False
w137735208_b14_A,10.0,car,motorcycle,137735208,14,False,only 1 samples in the sparser domain,7.639670962924059,0.0,A,A,1,1,0.44692149660532865,0.9797884471700107,0.661731455475582,1382118222639,3091248147862,1382118222639,3091248147862,,,1.7357681346948655e-05,46.22535818299415,65.48504394578839,199.392733751106,52.43344265949637,49.466864381023754,260.6565497437034,unclassified,,asphalt,False,True,False,False,False
w137735208_b16_A,10.0,car,motorcycle,137735208,16,False,only 1 samples in the sparser domain,0.24521663258946547,0.0,A,A,1,1,0.44370666909183015,0.9761609228326407,0.6581254527578143,1384118223316,3092248147966,1384118223316,3092248147966,,,1.7357681346948655e-05,38.60696950939301,51.660232409521534,192.17390447795592,38.60696950939301,35.640391138348534,246.84062235554416,unclassified,,asphalt,False,True,False,False,False
w137735208_b17_A,10.0,car,motorcycle,137735208,17,False,only 1 samples in the sparser domain,3.7269187934590504,0.0,A,A,1,1,0.4330847317795557,0.9660895709246993,0.6468374159701566,1385118223680,3093248148070,1385118223680,3093248148070,,,1.7357681346948655e-05,25.647410413066297,38.70330854124241,186.08740404993938,25.647410413066297,22.680831864634467,233.89207930514814,unclassified,,asphalt,False,True,False,False,False
w137735208_b18_A,10.0,car,motorcycle,137735208,18,False,only 1 samples in the sparser domain,2.758663720894089,0.0,A,A,2,1,0.42590789467977314,0.9836792484382907,0.6472686905316323,1386118224045,3094248148174,1387118224410,3094248148174,,,1.7357681346948655e-05,13.98822253324749,27.048649027154152,181.22991486690893,13.98822253324749,11.021643544358247,222.24389922887872,unclassified,,asphalt,False,True,False,False,False
w137735208_b19_A,10.0,car,motorcycle,137735208,19,False,only 1 samples in the sparser domain,2.3916299125900755,0.0,A,A,1,1,0.41937965657420695,0.9788335617054338,0.6407049890170456,1388118224722,3095248148278,1388118224722,3095248148278,,,1.7357681346948655e-05,3.883461083048416,16.95284875426878,177.53264452856666,3.883461083048416,0.9168795730799607,212.14965415157218,unclassified,,asphalt,False,True,False,False,False
