,recording_id,recording_id,bin_order,bin_order,bin_size_m,bin_size_m,samples,samples,observed_time_s,observed_time_s,road_relevant_mass_percent,road_relevant_mass_percent,interior_cockpit_mass_percent,interior_cockpit_mass_percent,vulnerable_road_user_mass_percent,vulnerable_road_user_mass_percent,sign_and_signal_mass_percent,sign_and_signal_mass_percent,road_relevant_top1_percent,road_relevant_top1_percent,foveal_entropy_mean,foveal_entropy_mean,top1_distribution_entropy,top1_distribution_entropy,semantic_transition_rate_per_s,semantic_transition_rate_per_s,fixation_time_percent,fixation_time_percent,scanpath_length_deg_per_s,scanpath_length_deg_per_s,blinks_per_minute,blinks_per_minute,eye_closure_fraction,eye_closure_fraction,pupil_diameter_mm,pupil_diameter_mm,pupil_light_adjusted_residual_mm,pupil_light_adjusted_residual_mm,lane_position_abs_offset,lane_position_abs_offset,lane_position_offset,lane_position_offset,head_angular_speed_rad_s,head_angular_speed_rad_s,head_abs_yaw_rate_rad_s,head_abs_yaw_rate_rad_s,head_vibration_rms_msec2,head_vibration_rms_msec2,speed_mps,speed_mps,heart_rate_bpm,heart_rate_bpm,ibi_ms,ibi_ms
domain,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle,car,motorcycle
bin_key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w72561441_b11_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,0,0,50.0,50.0,105,50,3.499965,1.6666500000000002,27.97936789869153,19.311381382668728,0.10067304208100639,0.0,0.0,0.0,0.0,0.0,9.523809523809524,2.0,0.23954486444001924,0.18953366604073238,0.11613233800223069,0.0362028418970331,4.5714742861714335,1.200012000120001,84.76190476190476,54.0,35.78135750206966,32.25374506124293,48.21429001913304,61.01696983626096,0.07079646017699115,0.16666666666666666,2.1668971749022603,2.124193008057773,-0.022911207051751203,-0.06432418437273946,0.14285714285714285,0.06981734197857416,0.14285714285714285,-0.06981734197857416,0.08656262052016597,0.12980128271186864,0.03642222271141752,0.026514692626163662,0.11851759530982396,0.34374072113499826,13.861000061035156,21.180500030517578,79.20971809456715,121.20440437555311,757.482812,495.64901
w72561441_b10_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,1,1,50.0,50.0,73,80,2.433309,2.66664,49.4007746319399,34.463138885400824,0.0,0.0,0.0,0.1300397314873297,0.0,0.013930617027030202,46.57534246575342,23.75,0.2920557053231615,0.23375378394588026,0.46148314879144997,0.28226445867547123,9.041186302273982,7.500075000750007,65.75342465753424,37.5,36.42154940549627,50.642842919664446,40.449433657367,102.27273889462941,0.17777777777777778,0.10112359550561797,2.1980542223900557,2.122654812410474,-0.04764905202100066,-0.08045618523713338,0.08067375886524822,0.400113652734869,0.014708303605729653,-0.37912402783462956,0.16265041320911974,0.16077779808087767,0.07250418085275903,0.03862915093735994,0.22800817927779643,0.449384121178947,13.944000244140625,18.777000427246094,61.78813579806372,135.11726459143023,971.060208,445.086615
w72561441_b9_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,2,2,50.0,50.0,79,73,2.6333070000000003,2.433309,19.87836339102208,58.87082974498307,1.7740836855716127,0.0,0.0,0.0,0.0,0.0,15.189873417721518,65.75342465753424,0.21389987717232414,0.1718201104545673,0.35962401545721445,0.346713251911391,5.316508861291144,6.575408219835623,62.0253164556962,47.94520547945205,46.94183876079945,36.31717886221046,40.449447292010625,60.6741504860505,0.12222222222222222,0.18888888888888888,2.3669969523325562,2.2282053250819445,0.01314949493663297,-0.28425708354002605,0.5965278169212558,0.6264367816091954,-0.5587970601469927,-0.6264367816091954,0.3989446948780544,0.14254927824702204,0.11310927557261899,0.049608271644451855,0.07346171712260496,0.2025696307172289,14.222000122070312,15.694000244140625,74.98585719867071,151.31881840521658,800.150885,396.513802
w72561441_b8_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,3,3,50.0,50.0,135,108,4.499955,3.599964,34.88993964913936,32.671941648767465,4.0470688370259635,0.0,0.0,0.32478298772541697,0.5006518840914602,0.0,28.88888888888889,28.703703703703702,0.3211549393030891,0.3021624713490152,0.409479867732315,0.5002214803637574,7.111182222933341,9.166758334250009,85.92592592592592,52.77777777777778,38.4660712107728,59.20204573338191,13.043481096408932,60.504196596286,0.02158273381294964,0.08333333333333333,2.143567136954516,2.2529117995873094,-0.06357023430417068,-0.09220716857740244,0.9759036144578314,0.8850407887493119,-0.9759036144578314,-0.8850407887493119,0.21288834367959275,0.23946970103734783,0.0991983773197675,0.09793118599297512,0.23021608689438042,0.48806805198506736,15.5,14.61050033569336,80.03350832255315,140.30834686124055,749.685991,427.629584
w72561441_b6_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,4,4,50.0,50.0,107,74,3.566631,2.4666420000000002,42.36063527471672,41.45273647457968,1.6725534954072745,0.0,0.0,0.0,0.0,0.0,44.85981308411215,47.2972972972973,0.35452228340143305,0.36602957491860816,0.4252524439811474,0.41621388364815787,10.934688786140198,14.594740542000013,70.09345794392523,37.83783783783784,38.80773790320585,44.43933670953319,45.378158887085526,141.5730178007845,0.09166666666666666,0.16666666666666666,2.101222286000848,2.1288557327352464,-0.03875631539297739,-0.060001145270055165,0.053497755814480664,0.18495297805642633,-0.0029239766081871343,-0.18495297805642633,0.11134117370659805,0.16575359414502983,0.03549490867102135,0.030891781538872596,0.22654627639751684,0.4311065136207639,14.305500030517578,16.472000122070312,91.94872392365606,116.93829945915998,652.537604,513.091094
w72561441_b5_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,5,5,50.0,50.0,68,83,2.2666440000000003,2.766639,39.26124787849879,36.838913536712,0.0,0.0,0.0,0.0,0.0,0.0,45.588235294117645,32.53012048192771,0.32213829230032254,0.3422809822536476,0.35941753342633337,0.45894806503294,8.382436765544124,12.650728916927724,57.35294117647059,51.80722891566265,41.897555019006575,46.19266209488091,40.449433657367,40.449433657367,0.24444444444444444,0.06666666666666667,2.1226644748821855,2.0900038070976734,0.005165717637201084,-0.08603821145121687,0.06172839506172839,0.16574585635359115,0.044585987261146494,0.16574585635359115,0.09974054242606181,0.1552237303993007,0.039310867390903254,0.040639016630168986,0.18612449996186983,0.3079781285967044,15.222000122070312,17.111000061035156,90.33193458497934,131.04855762630098,664.216927,458.67012950000003
w72561441_b4_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,6,6,50.0,50.0,80,83,2.66664,2.766639,47.321970369206205,24.99251334306946,0.009119560451297798,0.0,0.0,0.0,0.0,0.09607392183130567,42.5,19.27710843373494,0.3197908881123129,0.29781774931966426,0.3173217481144436,0.29464303922043195,7.875078750787507,8.313336145409647,60.0,49.39759036144578,35.080563457422336,49.483596743544574,20.2247168286835,60.6741504860505,0.07777777777777778,0.07777777777777778,2.095694944728166,2.1062182495370507,-0.023516286104422607,-0.013340258870521947,0.5,0.671875,0.49707602339181284,0.671875,0.10044580136329267,0.18523738540880863,0.05946032831695048,0.07086186313819473,0.1427442855471277,0.3520408131123104,15.083000183105469,17.55500030517578,76.33251950013275,125.56511935138826,786.6166149999999,478.1236975
w72561441_b3_B,car_2e84f0c3e245,motorcycle_5ab8604a14df,7,7,50.0,50.0,83,81,2.766639,2.699973,28.036361663995397,18.867574836702936,0.015246342780898174,0.0,0.0,0.0,0.0,0.0,14.457831325301203,11.11111111111111,0.26163493023607043,0.26952440478587697,0.15257774214442477,0.3169960335195735,5.783190362024102,5.555611111666672,54.21686746987952,51.85185185185185,29.648446591851766,42.84406505386972,20.224723646005312,60.6741504860505,0.07777777777777778,0.07777777777777778,2.1403352729976177,2.15074943844229,0.009628138382644993,-0.013395501266851191,0.24855491329479767,0.23756906077348067,0.24855491329479767,0.23756906077348067,0.08723440490731821,0.13830618667615852,0.047891026428278756,0.03982399536260675,0.07561304515125256,0.252047588186255,15.305000305175781,17.722000122070312,81.29272361106159,121.53655112722862,738.073438,493.678646
