domain,recording_id,source_frame_index,timestamp_ns,timestamp_s,image_path,selection_reason,failure_mode_candidate,confidence,entropy,split_group,route_segment,route_progression,pairing_id,strata_covered,expected_classes,hand_visibility_candidate,provenance
car,car_2e84f0c3e245,2340,1289259554796,1289.259554796,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002340.jpg,"[external_validation] adds 14 previously uncovered strata: cockpit:prominent, domain:car, geometry:turning, hand:left:visible, hand:right:out_of_frame, light:normal",,,,external_validation,q2,0.5664984740326751,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:out_of_frame;light:normal;motion:high;route:q2;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic;scene:two_wheeler,other_environment;pedestrian;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_sign;two_wheeler;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,2110,1266262212538,1266.262212538,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002110.jpg,"[external_validation] adds 7 previously uncovered strata: geometry:straight, hand:left:partially_visible, hand:right:visible, light:dark, motion:low, route:q1",,,,external_validation,q1,0.48087274234624655,,cockpit:prominent;domain:car;geometry:straight;hand:left:partially_visible;hand:right:visible;light:dark;motion:low;route:q1;scene:boundary;scene:clear;scene:markings;scene:pedestrian;scene:signage,other_environment;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""partially_visible"", ""right"": ""visible""}",{}
car,car_2e84f0c3e245,870,1142271674307,1142.271674307,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_000870.jpg,"[external_validation] adds 3 previously uncovered strata: hand:right:partially_visible, motion:medium, route:q0",,,,external_validation,q0,0.0,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:partially_visible;light:dark;motion:medium;route:q0;scene:boundary;scene:markings;scene:pedestrian;scene:traffic,lane_marking;other_environment;pedestrian;regulatory_road_marking;road_boundary_or_obstacle;road_surface;vehicle,"{""left"": ""visible"", ""right"": ""partially_visible""}",{}
car,car_2e84f0c3e245,2400,1295258580411,1295.258580411,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002400.jpg,"[external_validation] adds 2 previously uncovered strata: cockpit:minimal, hand:left:out_of_frame",,,,external_validation,q2,0.5717370226020317,,cockpit:minimal;domain:car;geometry:turning;hand:left:out_of_frame;hand:right:out_of_frame;light:normal;motion:high;route:q2;scene:boundary;scene:markings;scene:signage;scene:traffic,lane_marking;other_environment;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""out_of_frame"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,3760,1431249542724,1431.249542724,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_003760.jpg,"[external_validation] adds 2 previously uncovered strata: hand:right:not_visible, route:q3",,,,external_validation,q3,1.0,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:not_visible;light:dark;motion:high;route:q3;scene:boundary;scene:clear;scene:pedestrian;scene:signage,other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign,"{""left"": ""visible"", ""right"": ""not_visible""}",{}
car,car_2e84f0c3e245,2370,1292259339693,1292.259339693,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002370.jpg,[external_validation] adds 1 previously uncovered strata: light:bright,,,,external_validation,q2,0.5699013375958301,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:out_of_frame;light:bright;motion:high;route:q2;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic;scene:two_wheeler,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;two_wheeler;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,10,1056278117536,1056.278117536,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_000010.jpg,[external_validation] adds 1 previously uncovered strata: hand:left:not_visible,,,,external_validation,q0,0.0,,cockpit:prominent;domain:car;geometry:turning;hand:left:not_visible;hand:right:out_of_frame;light:dark;motion:high;route:q0;scene:boundary;scene:signage;scene:traffic,other_environment;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_light;vehicle,"{""left"": ""not_visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,1810,1236264350027,1236.264350027,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_001810.jpg,[external_validation] adds 1 previously uncovered strata: cockpit:partial,,,,external_validation,q1,0.3409224329978936,,cockpit:partial;domain:car;geometry:turning;hand:left:visible;hand:right:out_of_frame;light:normal;motion:high;route:q1;scene:boundary;scene:pedestrian;scene:traffic,other_environment;pedestrian;road_boundary_or_obstacle;road_surface;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,1560,1211266549339,1211.266549339,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_001560.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q1,0.29371805013912444,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:out_of_frame;light:dark;motion:high;route:q1;scene:boundary;scene:clear;scene:markings;scene:pedestrian;scene:signage,lane_marking;other_environment;pedestrian;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,1680,1223265645495,1223.265645495,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_001680.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q1,0.3282383319508213,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:out_of_frame;light:dark;motion:medium;route:q1;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic,lane_marking;other_environment;pedestrian;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,3350,1390252744912,1390.252744912,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_003350.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q3,0.9789866803146396,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:out_of_frame;light:normal;motion:low;route:q3;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic,lane_marking;other_environment;pedestrian;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,620,1117273519620,1117.27351962,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_000620.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q0,0.0,,cockpit:prominent;domain:car;geometry:turning;hand:left:partially_visible;hand:right:visible;light:normal;motion:high;route:q0;scene:boundary;scene:markings;scene:signage;scene:traffic,lane_marking;other_environment;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""partially_visible"", ""right"": ""visible""}",{}
car,car_2e84f0c3e245,720,1127273001922,1127.273001922,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_000720.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q0,0.0,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:out_of_frame;light:dark;motion:medium;route:q0;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,760,1131272559516,1131.272559516,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_000760.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q0,0.0,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:visible;light:dark;motion:medium;route:q0;scene:boundary;scene:clear;scene:pedestrian;scene:signage,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""visible""}",{}
car,car_2e84f0c3e245,980,1153270909506,1153.270909506,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_000980.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q0,0.0,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:visible;light:normal;motion:high;route:q0;scene:boundary;scene:markings;scene:pedestrian;scene:traffic;scene:two_wheeler,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;two_wheeler;vehicle,"{""left"": ""visible"", ""right"": ""visible""}",{}
car,car_2e84f0c3e245,1360,1191268122859,1191.268122859,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_001360.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q0,0.16352413562535703,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:partially_visible;light:dark;motion:medium;route:q0;scene:boundary;scene:clear;scene:pedestrian;scene:signage,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""partially_visible""}",{}
car,car_2e84f0c3e245,1610,1216266170120,1216.26617012,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_001610.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q1,0.3169261314867071,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:out_of_frame;light:dark;motion:medium;route:q1;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic,lane_marking;other_environment;pedestrian;regulatory_road_marking;road_boundary_or_obstacle;road_surface;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,1650,1220265854130,1220.26585413,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_001650.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q1,0.32523210960120696,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:out_of_frame;light:normal;motion:medium;route:q1;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,2030,1258262826141,1258.262826141,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002030.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q1,0.44464406341350393,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:visible;light:dark;motion:low;route:q1;scene:boundary;scene:markings;scene:signage;scene:traffic,lane_marking;other_environment;regulatory_road_marking;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""visible""}",{}
car,car_2e84f0c3e245,2490,1304258680370,1304.25868037,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002490.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q2,0.5998973673846895,,cockpit:prominent;domain:car;geometry:straight;hand:left:visible;hand:right:out_of_frame;light:normal;motion:low;route:q2;scene:boundary;scene:clear;scene:markings;scene:pedestrian;scene:signage,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,2590,1314257136401,1314.257136401,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002590.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q2,0.6496504566916403,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:out_of_frame;light:normal;motion:high;route:q2;scene:boundary;scene:markings;scene:pedestrian;scene:signage;scene:traffic,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,2660,1321257887838,1321.257887838,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002660.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q2,0.6735568433177518,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:out_of_frame;light:normal;motion:high;route:q2;scene:boundary;scene:pedestrian;scene:signage;scene:traffic,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""out_of_frame""}",{}
car,car_2e84f0c3e245,2760,1331257241359,1331.257241359,output/article1/ingestion/scout/car_2e84f0c3e245/frames/rectified/frame_002760.jpg,[external_validation] extends coverage of already represented conditions,,,,external_validation,q2,0.712051762652842,,cockpit:prominent;domain:car;geometry:turning;hand:left:visible;hand:right:partially_visible;light:dark;motion:high;route:q2;scene:boundary;scene:clear;scene:markings;scene:pedestrian;scene:signage,lane_marking;other_environment;pedestrian;road_boundary_or_obstacle;road_surface;traffic_sign;vehicle,"{""left"": ""visible"", ""right"": ""partially_visible""}",{}
