class,car_pixel_fraction,motorcycle_pixel_fraction,difference,car_presence_fraction,motorcycle_presence_fraction,car_components_per_class_frame,motorcycle_components_per_class_frame
unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_surface,0.03421548905055848,0.2858831603200266,0.2516676712694681,1.0,0.9688888888888889,5.38,11.403669724770642
lane_marking,0.0046139930380588445,0.0352021548073962,0.030588161769337353,0.95,0.9888888888888889,10.428070175438597,27.6
regulatory_road_marking,0.0009113271080036954,0.01645334677080709,0.015542019662803393,0.22666666666666666,0.4488888888888889,2.764705882352941,2.3415841584158414
vehicle,0.024639048327664385,0.006711577806705669,-0.017927470520958715,1.0,0.8355555555555556,6.85,2.2632978723404253
two_wheeler,0.00020330302903054224,0.0004278448776629993,0.00022454184863245704,0.11333333333333333,0.2,1.088235294117647,1.5555555555555556
pedestrian,0.001416340134304751,7.316541156929166e-05,-0.0013431747227354593,0.25,0.21555555555555556,6.32,1.288659793814433
traffic_light,1.5222138238011251e-06,1.2376735673693345e-05,1.085452184989222e-05,0.023333333333333334,0.051111111111111114,1.4285714285714286,1.2608695652173914
traffic_sign,0.0008546694783880628,0.0023342631376967794,0.0014795936593087165,0.6533333333333333,0.7844444444444445,2.107142857142857,3.0169971671388103
road_boundary_or_obstacle,0.01075097850354133,0.07146423045384136,0.06071325195030003,0.9966666666666667,1.0,4.872909698996655,7.566666666666666
mirror,2.6703261036925062e-05,0.0001953777481500145,0.00016867448711308945,0.08,0.2222222222222222,8.833333333333334,12.01
instrument_display,0.00045930068272164826,0.00020183549242742382,-0.0002574651902942244,0.3,0.4888888888888889,8.877777777777778,11.340909090909092
control_and_ego_vehicle,0.017547561527182884,0.0076997504677453876,-0.009847811059437496,1.0,0.9933333333333333,66.41333333333333,165.8791946308725
other_environment,0.9043597636456849,0.5733409159702979,-0.33101884767538703,1.0,1.0,240.57333333333332,961.4711111111111
