recording_id,source_frame_index,timestamp_ns,side,agreement_case,agreement_label,state_candidate,hand_tracking_valid,landmarks_in_frame,landmarks_total,tracking_dt_ms,proxy_available,proxy_mask_present,proxy_mask_present_before_plausibility,proxy_implausible_detections,proxy_score,proxy_area_fraction,proxy_raw_area_fraction,proxy_tracking_overlap,local_blur_variance,reference_blur_variance,proxy_persisted_frames
motorcycle_5ab8604a14df,13875,3099822119217,left,3,hand not visible and proxy absent,not_visible,False,0,0,-27.477217,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13875,3099822119217,right,3,hand not visible and proxy absent,not_visible,False,0,0,-27.477217,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13876,3099888768020,left,3,hand not visible and proxy absent,not_visible,False,0,0,5.87398,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13876,3099888768020,right,3,hand not visible and proxy absent,not_visible,False,0,0,5.87398,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13877,3099955410165,left,3,hand not visible and proxy absent,not_visible,False,0,0,39.231835,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13877,3099955410165,right,3,hand not visible and proxy absent,not_visible,False,0,0,39.231835,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13878,3100022058812,left,3,hand not visible and proxy absent,not_visible,False,0,0,-27.416812,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13878,3100022058812,right,3,hand not visible and proxy absent,not_visible,False,0,0,-27.416812,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13879,3100088720613,left,3,hand not visible and proxy absent,not_visible,False,0,0,5.922387,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13879,3100088720613,right,3,hand not visible and proxy absent,not_visible,False,0,0,5.922387,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13880,3100155362760,left,3,hand not visible and proxy absent,not_visible,False,0,0,39.28024,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13880,3100155362760,right,3,hand not visible and proxy absent,not_visible,False,0,0,39.28024,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13881,3100222024509,left,3,hand not visible and proxy absent,not_visible,False,0,0,-27.381509,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13881,3100222024509,right,3,hand not visible and proxy absent,not_visible,False,0,0,-27.381509,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13882,3100288679310,left,3,hand not visible and proxy absent,not_visible,False,0,0,5.96469,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13882,3100288679310,right,3,hand not visible and proxy absent,not_visible,False,0,0,5.96469,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13883,3100355321957,left,3,hand not visible and proxy absent,not_visible,False,0,0,39.320043,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13883,3100355321957,right,3,hand not visible and proxy absent,not_visible,False,0,0,39.320043,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13884,3100421995914,left,3,hand not visible and proxy absent,not_visible,False,0,0,-27.353914,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13884,3100421995914,right,3,hand not visible and proxy absent,not_visible,False,0,0,-27.353914,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13885,3100488657321,left,3,hand not visible and proxy absent,not_visible,False,0,0,5.983679,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13885,3100488657321,right,3,hand not visible and proxy absent,not_visible,False,0,0,5.983679,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13886,3100555318781,left,3,hand not visible and proxy absent,not_visible,False,0,0,39.323219,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13886,3100555318781,right,3,hand not visible and proxy absent,not_visible,False,0,0,39.323219,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13887,3100621980186,left,3,hand not visible and proxy absent,not_visible,False,0,0,-27.338186,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13887,3100621980186,right,3,hand not visible and proxy absent,not_visible,False,0,0,-27.338186,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13888,3100688628989,left,3,hand not visible and proxy absent,not_visible,False,0,0,6.013011,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13888,3100688628989,right,3,hand not visible and proxy absent,not_visible,False,0,0,6.013011,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13889,3100755296894,left,3,hand not visible and proxy absent,not_visible,False,0,0,39.345106,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13889,3100755296894,right,3,hand not visible and proxy absent,not_visible,False,0,0,39.345106,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13890,3100821958353,left,3,hand not visible and proxy absent,not_visible,False,0,0,-27.316353,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13890,3100821958353,right,3,hand not visible and proxy absent,not_visible,False,0,0,-27.316353,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13891,3100888645071,left,3,hand not visible and proxy absent,not_visible,False,0,0,5.996929,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13891,3100888645071,right,3,hand not visible and proxy absent,not_visible,False,0,0,5.996929,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13892,3100955306634,left,3,hand not visible and proxy absent,not_visible,False,0,0,39.350366,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,13892,3100955306634,right,3,hand not visible and proxy absent,not_visible,False,0,0,39.350366,True,False,False,0,0.0,0.0,0.0,,,,0
