class,presence_fraction,mean_pixel_fraction,median_pixel_fraction_when_present,mean_components_when_present,max_components
unknown,0.0,0.0,0.0,0.0,0
road_surface,0.9688888888888889,0.28588316032002653,0.317034163202318,11.403669724770642,33
lane_marking,0.9888888888888889,0.03520215480739621,0.02198352334761065,27.6,340
regulatory_road_marking,0.4488888888888889,0.016453346770807085,0.002158820704207609,2.3415841584158414,17
vehicle,0.8355555555555556,0.0067115778067056734,0.0032212537792894935,2.2632978723404253,10
two_wheeler,0.2,0.00042784487766299933,0.00043255149281935,1.5555555555555556,9
pedestrian,0.21555555555555556,7.316541156929165e-05,0.0001240079365079365,1.288659793814433,4
traffic_light,0.051111111111111114,1.2376735673693345e-05,0.00019618186780885193,1.2608695652173914,4
traffic_sign,0.7844444444444445,0.00233426313769678,0.0017338146678424456,3.0169971671388103,11
road_boundary_or_obstacle,1.0,0.07146423045384134,0.04882992934828252,7.566666666666666,28
mirror,0.2222222222222222,0.00019537774815001446,6.03636516334929e-05,12.01,82
instrument_display,0.4888888888888889,0.0002018354924274236,3.969566221550348e-05,11.340909090909092,97
control_and_ego_vehicle,0.9933333333333333,0.007699750467745396,0.002085498551272361,165.8791946308725,2276
other_environment,1.0,0.5733409159702976,0.5795658541194255,961.4711111111111,1941
