rank,recording_id,domain,start_frame_index,end_frame_index,start_timestamp_ns,end_timestamp_ns,duration_s,frame_count,expected_frame_count,missing_frame_estimate,largest_gap_ms,gaps_over_1p5_periods,mean_blur_variance,low_sharpness_fraction,mean_luminance,dark_fraction,clipped_fraction,mean_frame_difference,visual_diversity,static_structure_fraction,semantic_diversity,traffic_class_fraction,lane_marking_fraction,cockpit_proxy_fraction,mirror_proxy_fraction,instrument_proxy_fraction,hand_tracked_fraction,hand_proxy_frames,median_speed_mps,moving_fraction,gps_coverage,passes_quality_gate,rejection_reasons,score,score_components,rationale
1,motorcycle_5ab8604a14df,motorcycle,13875,14324,3099822119217,3129751762010,29.929642793,450,450,0,66.81325,0,806.5361328125,0.0,0.33177974820137024,0.0546441413462162,0.0011194403050467372,0.0396469384431839,0.34414628623188404,0.052897135416666664,0.5019217618755292,0.010231753811240196,0.03795120492577553,0.029022442176938057,0.0,0.0,0.6933333333333334,312,12.138500213623047,1.0,1.0,True,[],0.7009635165194277,"{'motion': 0.1878936385605377, 'visual_diversity': 0.19777562862669246, 'semantic_diversity': 0.1307354028637624, 'traffic': 0.015701441526322222, 'cockpit': 0.049789337592826784, 'sharpness': 0.034401400682619404, 'hands': 0.03466666666666667, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.198, motion 0.188, semantic_diversity 0.131', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.02% of the sampled pixels', 'cockpit proxy covers 2.90% of the sampled pixels', ""hand tracking reports a hand in 69.3% of the window's frames (proxy signal, not visibility ground truth)""]"
2,motorcycle_5ab8604a14df,motorcycle,13800,14249,3094822587383,3124753608290,29.931020907,450,450,0,66.81325,0,838.4479370117188,0.0,0.325347900390625,0.055538903921842575,0.00066536566009745,0.04106491059064865,0.31872735507246375,0.049641927083333336,0.5038843035409104,0.012183294631540775,0.0457831472158432,0.027510127052664757,0.0,0.0,0.6977777777777778,314,12.138500213623047,1.0,1.0,True,[],0.6929979305742645,"{'motion': 0.19785828894014756, 'visual_diversity': 0.17606382978723403, 'semantic_diversity': 0.13169574775221518, 'traffic': 0.018791984241152568, 'cockpit': 0.04708427500376305, 'sharpness': 0.036614915960863297, 'hands': 0.03488888888888889, 'continuity': 0.05}","['strongest contributions: motion 0.198, visual_diversity 0.176, semantic_diversity 0.132', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.22% of the sampled pixels', 'cockpit proxy covers 2.75% of the sampled pixels', ""hand tracking reports a hand in 69.8% of the window's frames (proxy signal, not visibility ground truth)""]"
3,motorcycle_5ab8604a14df,motorcycle,13725,14174,3089822954155,3119753722593,29.930768438,450,450,0,66.81325,0,834.122802734375,0.0,0.32423898577690125,0.05546588823199272,0.0006709448643960059,0.04117273911833763,0.309273097826087,0.050862630208333336,0.5167703454683563,0.0115220807492733,0.06383305042982101,0.028197789564728737,0.0,0.0,0.6088888888888889,274,13.444000244140625,1.0,1.0,True,[],0.6874243078862756,"{'motion': 0.1986160425965151, 'visual_diversity': 0.16798839458413928, 'semantic_diversity': 0.13800136903695207, 'traffic': 0.017744857926637818, 'cockpit': 0.0483142899030584, 'sharpness': 0.03631490939452847, 'hands': 0.030444444444444448, 'continuity': 0.05}","['strongest contributions: motion 0.199, visual_diversity 0.168, semantic_diversity 0.138', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.15% of the sampled pixels', 'cockpit proxy covers 2.82% of the sampled pixels', ""hand tracking reports a hand in 60.9% of the window's frames (proxy signal, not visibility ground truth)""]"
4,motorcycle_5ab8604a14df,motorcycle,13650,14099,3084823270883,3114753976509,29.930705626,450,450,0,66.81325,0,742.2455444335938,0.0,0.32122957706451416,0.056701529771089554,0.00037352414801716805,0.0374629907310009,0.2860054347826087,0.049723307291666664,0.5286992034734026,0.01009046845138073,0.08144554495811462,0.03259842470288277,0.0,0.0,0.44222222222222224,199,14.805500030517578,1.0,1.0,True,[],0.6382153466038794,"{'motion': 0.17254617532710115, 'visual_diversity': 0.14811411992263057, 'semantic_diversity': 0.14383860450170832, 'traffic': 0.015477696045272738, 'cockpit': 0.05618566094820346, 'sharpness': 0.029941978747852024, 'hands': 0.022111111111111113, 'continuity': 0.05}","['strongest contributions: motion 0.173, visual_diversity 0.148, semantic_diversity 0.144', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.01% of the sampled pixels', 'cockpit proxy covers 3.26% of the sampled pixels', ""hand tracking reports a hand in 44.2% of the window's frames (proxy signal, not visibility ground truth)""]"
5,motorcycle_5ab8604a14df,motorcycle,13575,14024,3079823568697,3109754571477,29.93100278,450,450,0,66.81325,0,664.363525390625,0.0,0.31523633003234863,0.058132898062467575,0.0001883899822132662,0.03324452042579651,0.25662364130434784,0.058430989583333336,0.5412905084594387,0.009547480382025242,0.09442705661058426,0.036126937717199326,0.0,0.0,0.27555555555555555,124,14.458000183105469,1.0,1.0,True,[],0.5813511845585323,"{'motion': 0.1429013181955384, 'visual_diversity': 0.12301740812379112, 'semantic_diversity': 0.15, 'traffic': 0.01461779713640547, 'cockpit': 0.06249707607382996, 'sharpness': 0.024539807251189573, 'hands': 0.013777777777777778, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.150, motion 0.143, visual_diversity 0.123', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 0.95% of the sampled pixels', 'cockpit proxy covers 3.61% of the sampled pixels', ""hand tracking reports a hand in 27.6% of the window's frames (proxy signal, not visibility ground truth)""]"
6,motorcycle_5ab8604a14df,motorcycle,11775,12224,2959833218769,2989764064154,29.930845385,450,450,0,66.68672,0,665.1185913085938,0.0,0.3068036139011383,0.056395597755908966,0.0008873960468918085,0.02740924246609211,0.24048913043478262,0.10636393229166667,0.5264222776463979,0.047597486525774,0.04462506249547005,0.022787362337112427,0.0,0.0,0.6377777777777778,287,11.401999950408936,1.0,1.0,True,[],0.5738480945408725,"{'motion': 0.10189451503635097, 'visual_diversity': 0.10923597678916828, 'semantic_diversity': 0.14272441970863017, 'traffic': 0.07487539875229196, 'cockpit': 0.0386367140794949, 'sharpness': 0.02459218128604737, 'hands': 0.03188888888888889, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.143, visual_diversity 0.109, motion 0.102', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 4.76% of the sampled pixels', 'cockpit proxy covers 2.28% of the sampled pixels', ""hand tracking reports a hand in 63.8% of the window's frames (proxy signal, not visibility ground truth)""]"
7,motorcycle_5ab8604a14df,motorcycle,13125,13574,3049825701259,3079756907290,29.931206031,450,450,0,66.724948,0,717.2695922851562,0.0,0.30661213397979736,0.05853893607854843,0.0002223241317551583,0.030027927830815315,0.2616621376811594,0.043294270833333336,0.5015837257274661,0.022295691072940826,0.043170616030693054,0.012578667141497135,0.0,0.0,0.7422222222222222,334,12.985499858856201,1.0,1.0,True,[],0.5486917226127721,"{'motion': 0.12029705147567585, 'visual_diversity': 0.12732108317214702, 'semantic_diversity': 0.13056998915936516, 'traffic': 0.03480640363035686, 'cockpit': 0.020376525436547013, 'sharpness': 0.02820955862756913, 'hands': 0.037111111111111116, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.131, visual_diversity 0.127, motion 0.120', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.23% of the sampled pixels', 'cockpit proxy covers 1.26% of the sampled pixels', ""hand tracking reports a hand in 74.2% of the window's frames (proxy signal, not visibility ground truth)""]"
8,motorcycle_5ab8604a14df,motorcycle,3450,3899,2404876560196,2434807748686,29.93118849,450,450,0,66.826248,0,478.8248596191406,0.0,0.3238484561443329,0.051038648933172226,0.0003563248901627958,0.028637459501624107,0.2516983695652174,0.066650390625,0.48882595688458524,0.014572708867490292,0.02926771529018879,0.040117502212524414,0.0,0.0,0.7533333333333333,339,25.05500030517578,1.0,1.0,True,[],0.54521104039646,"{'motion': 0.11052568129108971, 'visual_diversity': 0.11881044487427468, 'semantic_diversity': 0.12432713668268017, 'traffic': 0.022575961846339587, 'cockpit': 0.06963495795591258, 'sharpness': 0.011670191079496555, 'hands': 0.03766666666666667, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.124, visual_diversity 0.119, motion 0.111', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.46% of the sampled pixels', 'cockpit proxy covers 4.01% of the sampled pixels', ""hand tracking reports a hand in 75.3% of the window's frames (proxy signal, not visibility ground truth)""]"
9,motorcycle_5ab8604a14df,motorcycle,11850,12299,2964832808113,2994763696310,29.930888197,450,450,0,66.68672,0,724.6406860351562,0.0,0.31026729941368103,0.0552288219332695,0.0008827847777865827,0.02689509280025959,0.24371603260869565,0.13191731770833334,0.5073498046550354,0.027178503572940826,0.04281887784600258,0.023488590493798256,0.0,0.0,0.7,315,11.66599988937378,1.0,1.0,True,[],0.5398160618439208,"{'motion': 0.09828138224529125, 'visual_diversity': 0.11199226305609283, 'semantic_diversity': 0.13339154679668075, 'traffic': 0.042539032352636556, 'cockpit': 0.03989099370852423, 'sharpness': 0.028720843684695185, 'hands': 0.034999999999999996, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.133, visual_diversity 0.112, motion 0.098', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.72% of the sampled pixels', 'cockpit proxy covers 2.35% of the sampled pixels', ""hand tracking reports a hand in 70.0% of the window's frames (proxy signal, not visibility ground truth)""]"
10,motorcycle_5ab8604a14df,motorcycle,13200,13649,3054825018145,3084756615978,29.931597833,450,450,0,66.724948,0,710.957763671875,0.0,0.304800420999527,0.058803632855415344,0.00021527224453166127,0.029959330335259438,0.23618659420289856,0.057535807291666664,0.5161451691900963,0.021249502897262573,0.052839040756225586,0.018413404002785683,0.0,0.0,0.6911111111111111,311,14.15250015258789,1.0,1.0,True,[],0.5393613439292723,"{'motion': 0.11981498977837571, 'visual_diversity': 0.10556092843326886, 'semantic_diversity': 0.13769544694938593, 'traffic': 0.03314961571639148, 'cockpit': 0.03081305956040367, 'sharpness': 0.02777174793589107, 'hands': 0.034555555555555555, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.138, motion 0.120, visual_diversity 0.106', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.12% of the sampled pixels', 'cockpit proxy covers 1.84% of the sampled pixels', ""hand tracking reports a hand in 69.1% of the window's frames (proxy signal, not visibility ground truth)""]"
